"subject","activity","tBodyAccMeanX","tBodyAccMeanY","tBodyAccMeanZ","tBodyAccStdX","tBodyAccStdY","tBodyAccStdZ","tGravityAccMeanX","tGravityAccMeanY","tGravityAccMeanZ","tGravityAccStdX","tGravityAccStdY","tGravityAccStdZ","tBodyAccJerkMeanX","tBodyAccJerkMeanY","tBodyAccJerkMeanZ","tBodyAccJerkStdX","tBodyAccJerkStdY","tBodyAccJerkStdZ","tBodyGyroMeanX","tBodyGyroMeanY","tBodyGyroMeanZ","tBodyGyroStdX","tBodyGyroStdY","tBodyGyroStdZ","tBodyGyroJerkMeanX","tBodyGyroJerkMeanY","tBodyGyroJerkMeanZ","tBodyGyroJerkStdX","tBodyGyroJerkStdY","tBodyGyroJerkStdZ","tBodyAccMagMean","tBodyAccMagStd","tGravityAccMagMean","tGravityAccMagStd","tBodyAccJerkMagMean","tBodyAccJerkMagStd","tBodyGyroMagMean","tBodyGyroMagStd","tBodyGyroJerkMagMean","tBodyGyroJerkMagStd","fBodyAccMeanX","fBodyAccMeanY","fBodyAccMeanZ","fBodyAccStdX","fBodyAccStdY","fBodyAccStdZ","fBodyAccJerkMeanX","fBodyAccJerkMeanY","fBodyAccJerkMeanZ","fBodyAccJerkStdX","fBodyAccJerkStdY","fBodyAccJerkStdZ","fBodyGyroMeanX","fBodyGyroMeanY","fBodyGyroMeanZ","fBodyGyroStdX","fBodyGyroStdY","fBodyGyroStdZ","fBodyAccMagMean","fBodyAccMagStd","fBodyBodyAccJerkMagMean","fBodyBodyAccJerkMagStd","fBodyBodyGyroMagMean","fBodyBodyGyroMagStd","fBodyBodyGyroJerkMagMean","fBodyBodyGyroJerkMagStd"
"1","walking",0.2773308,-0.01738382,-0.1111481,-0.2837403,0.1144613,-0.2600279,0.9352232,-0.282165,-0.06810286,-0.9766096,-0.971306,-0.9477172,0.07404163,0.02827211,-0.004168406,-0.1136156,0.0670025,-0.5026998,-0.04183096,-0.06953005,0.08494482,-0.4735355,-0.05460777,-0.3442666,-0.08999754,-0.03984287,-0.04613093,-0.2074219,-0.3044685,-0.4042555,-0.1369712,-0.2196886,-0.1369712,-0.2196886,-0.1414288,-0.07447175,-0.1609796,-0.1869784,-0.2987037,-0.3253249,-0.2027943,0.08971273,-0.3315601,-0.3191347,0.05604001,-0.2796868,-0.170547,-0.03522552,-0.4689992,-0.1335866,0.1067399,-0.5347134,-0.3390322,-0.1030594,-0.2559409,-0.5166919,-0.03350816,-0.4365622,-0.1286235,-0.3980326,-0.0571194,-0.1034924,-0.1992526,-0.321018,-0.3193086,-0.3816019
"1","walking_upstairs",0.2554617,-0.02395315,-0.097302,-0.354708,-0.002320265,-0.01947924,0.8933511,-0.3621534,-0.07540294,-0.956367,-0.9528492,-0.9123794,0.1013727,0.01948631,-0.04556254,-0.4468439,-0.3782744,-0.7065935,0.05054938,-0.16617,0.05835955,-0.5448711,0.004105184,-0.5071687,-0.1222328,-0.04214859,-0.04071255,-0.6147865,-0.6016967,-0.606332,-0.1299276,-0.3249709,-0.1299276,-0.3249709,-0.4665034,-0.4789916,-0.1267356,-0.1486193,-0.5948829,-0.648553,-0.4043218,-0.1909767,-0.4333497,-0.3374282,0.02176951,0.08595655,-0.4798752,-0.4134446,-0.6854744,-0.461907,-0.3817771,-0.7260402,-0.4926117,-0.3194746,-0.4535972,-0.5658925,0.1515389,-0.5717078,-0.3523959,-0.4162601,-0.4426522,-0.5330599,-0.3259615,-0.1829855,-0.6346651,-0.6939305
"1","walking_downstairs",0.2891883,-0.009918505,-0.1075662,0.03003534,-0.03193594,-0.2304342,0.9318744,-0.2666103,-0.06211996,-0.9505598,-0.9370187,-0.8959397,0.05415532,0.02965045,-0.01097197,-0.01228386,-0.1016014,-0.345735,-0.03507819,-0.09093713,0.09008501,-0.4580305,-0.1263492,-0.1247025,-0.0739592,-0.04399028,-0.02704611,-0.4870273,-0.2388248,-0.2687615,0.02718829,0.01988435,0.02718829,0.01988435,-0.08944748,-0.02578772,-0.07574125,-0.2257244,-0.2954638,-0.3065106,0.03822918,0.001549908,-0.2255745,0.02433084,-0.1129637,-0.2979279,-0.02766387,-0.1286672,-0.2883347,-0.0863279,-0.13458,-0.4017215,-0.3524496,-0.05570225,-0.03186943,-0.4954225,-0.1814147,-0.2384436,0.09658453,-0.1865303,0.02621849,-0.1040523,-0.1857203,-0.3983504,-0.2819634,-0.3919199
"1","sitting",0.2612376,-0.001308288,-0.1045442,-0.977229,-0.9226186,-0.9395863,0.8315099,0.2044116,0.3320437,-0.9684571,-0.9355171,-0.9490409,0.07748252,-0.0006191028,-0.003367792,-0.9864307,-0.981372,-0.9879108,-0.04535006,-0.09192415,0.06293138,-0.9772113,-0.9664739,-0.9414259,-0.09367938,-0.04021181,-0.04670263,-0.9917316,-0.9895181,-0.9879358,-0.9485368,-0.9270784,-0.9485368,-0.9270784,-0.9873642,-0.98412,-0.9308925,-0.9345318,-0.9919763,-0.9883087,-0.9796412,-0.9440846,-0.9591849,-0.9764123,-0.917275,-0.9344696,-0.986597,-0.9815795,-0.9860531,-0.987493,-0.9825139,-0.9883392,-0.9761615,-0.9758386,-0.9513155,-0.9779042,-0.962345,-0.9439178,-0.9477829,-0.9284448,-0.9852621,-0.9816062,-0.9584356,-0.9321984,-0.9897975,-0.9870496
"1","standing",0.2789176,-0.01613759,-0.1106018,-0.9957599,-0.9731901,-0.9797759,0.942952,-0.2729838,0.01349058,-0.993763,-0.981226,-0.9763241,0.07537665,0.007975731,-0.00368525,-0.9946045,-0.9856487,-0.9922512,-0.02398773,-0.05939722,0.07480075,-0.9871919,-0.9877344,-0.9806456,-0.09960921,-0.04406279,-0.04895055,-0.9929451,-0.9951379,-0.9921085,-0.9842782,-0.9819429,-0.9842782,-0.9819429,-0.9923678,-0.9930962,-0.9764938,-0.97869,-0.9949668,-0.9947332,-0.9952499,-0.9770708,-0.9852971,-0.9960283,-0.9722931,-0.9779373,-0.9946308,-0.9854187,-0.9907522,-0.9950738,-0.9870182,-0.9923498,-0.9863868,-0.9889845,-0.9807731,-0.9874971,-0.9871077,-0.9823453,-0.9853564,-0.9823138,-0.9925425,-0.992536,-0.9846176,-0.9784661,-0.9948154,-0.9946711
"1","laying",0.2215982,-0.04051395,-0.1132036,-0.9280565,-0.8368274,-0.8260614,-0.2488818,0.7055498,0.4458177,-0.89683,-0.90772,-0.8523663,0.08108653,0.003838204,0.01083424,-0.9584821,-0.9241493,-0.9548551,-0.01655309,-0.06448612,0.1486894,-0.8735439,-0.9510904,-0.9082847,-0.1072709,-0.04151729,-0.07405012,-0.9186085,-0.9679072,-0.9577902,-0.8419292,-0.7951449,-0.8419292,-0.7951449,-0.9543963,-0.9282456,-0.8747595,-0.8190102,-0.963461,-0.935841,-0.9390991,-0.8670652,-0.8826669,-0.9244374,-0.8336256,-0.8128916,-0.9570739,-0.9224626,-0.9480609,-0.9641607,-0.9322179,-0.960587,-0.8502492,-0.9521915,-0.9093027,-0.8822965,-0.951232,-0.9165825,-0.8617676,-0.7983009,-0.9333004,-0.921804,-0.8621902,-0.8243194,-0.9423669,-0.9326607
"2","walking",0.2764266,-0.01859492,-0.1055004,-0.4236428,-0.07809125,-0.4252575,0.9130173,-0.3466071,0.08472709,-0.9726932,-0.9721169,-0.9720728,0.06180807,0.01824927,0.007895337,-0.2775305,-0.01660224,-0.5860904,-0.05302582,-0.04823823,0.08283366,-0.5615503,-0.5384537,-0.4810855,-0.08188334,-0.05382994,-0.05149392,-0.3895498,-0.6341404,-0.4354927,-0.2904076,-0.4225442,-0.2904076,-0.4225442,-0.2814242,-0.164151,-0.4465491,-0.5530199,-0.547912,-0.5577982,-0.3460482,-0.02190481,-0.4538064,-0.4576514,-0.1692197,-0.4552221,-0.3046153,-0.07876408,-0.5549567,-0.3143131,-0.01533295,-0.6158982,-0.4297135,-0.5547721,-0.3966599,-0.604053,-0.533047,-0.5598566,-0.3242894,-0.5771052,-0.1690644,-0.164092,-0.5307048,-0.6517928,-0.5832493,-0.5581046
"2","walking_upstairs",0.2471648,-0.02141211,-0.1525139,-0.3043764,0.1080273,-0.112121,0.7907174,-0.4162149,-0.1958882,-0.9344077,-0.9237675,-0.8780041,0.07445078,-0.009709855,0.01948144,-0.2761219,-0.185649,-0.5737464,-0.05769126,-0.03208831,0.0688374,-0.4392531,-0.4662983,-0.1639958,-0.0828858,-0.04240537,-0.04451575,-0.4648544,-0.6454913,-0.467596,-0.1073227,-0.205977,-0.1073227,-0.205977,-0.3212689,-0.2173894,-0.2197135,-0.3775322,-0.5728164,-0.5972917,-0.2667209,0.009924459,-0.281002,-0.3205824,0.08488028,-0.09454498,-0.2586394,-0.1878421,-0.5227281,-0.3654154,-0.2435541,-0.625091,-0.3316436,-0.4880861,-0.2486011,-0.4763588,-0.4597585,-0.2180725,-0.1453185,-0.3667282,-0.1895111,-0.2604238,-0.4506122,-0.4386204,-0.6007985,-0.6218202
"2","walking_downstairs",0.2776153,-0.02266142,-0.1168129,0.04636668,0.2628818,-0.1028379,0.8618313,-0.3257801,-0.04388902,-0.9403618,-0.9400685,-0.9314383,0.1100406,-0.003279591,-0.02093517,0.1472491,0.126828,-0.340122,-0.1159474,-0.004823292,0.09717381,-0.3207892,-0.4157391,-0.2794184,-0.05810385,-0.04214703,-0.07102298,-0.2439406,-0.4693967,-0.2182663,0.08995112,0.2155863,0.08995112,0.2155863,0.005655163,0.2296172,-0.1621886,-0.2748441,-0.4108727,-0.3431879,0.1128412,0.278345,-0.1312908,0.01610462,0.171974,-0.1620329,0.1381207,0.09620916,-0.2714987,0.04995906,0.08083335,-0.4082274,-0.145776,-0.3619138,-0.08749447,-0.3794367,-0.4587327,-0.4229877,0.2934248,-0.02147879,0.2222474,0.2274807,-0.3208385,-0.3725768,-0.3801753,-0.343699
"2","sitting",0.2770874,-0.01568799,-0.1092183,-0.9868223,-0.9507045,-0.9598282,0.9404773,-0.10563,0.1987268,-0.9799888,-0.9567503,-0.9544159,0.07225644,0.01169545,0.007605469,-0.9880559,-0.977984,-0.9875182,-0.04547066,-0.05992868,0.04122775,-0.985742,-0.9789195,-0.9598037,-0.09363284,-0.0415602,-0.0435851,-0.989709,-0.9908896,-0.9855423,-0.9678936,-0.9530814,-0.9678936,-0.9530814,-0.9867747,-0.9844759,-0.9460351,-0.9613136,-0.9910815,-0.9895949,-0.9858038,-0.9573435,-0.9701622,-0.9873621,-0.9500738,-0.9568629,-0.9878488,-0.9771397,-0.9851291,-0.9894591,-0.9808042,-0.9885708,-0.9826214,-0.9821009,-0.9598148,-0.9868085,-0.9773562,-0.9635227,-0.9612737,-0.9555756,-0.9838747,-0.9841242,-0.9718406,-0.9613857,-0.989862,-0.9896329
